yaw,pitch,face,class
34.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,38.0,1.0,1.0
30.0,38.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
30.0,38.0,1.0,1.0
30.0,38.0,1.0,1.0
31.0,37.0,1.0,1.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
31.0,37.0,1.0,1.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
31.0,37.0,1.0,1.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
29.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
34.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
37.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
23.0,21.0,1.0,3.0
23.0,21.0,1.0,3.0
23.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
23.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
31.0,37.0,1.0,1.0
22.0,21.0,1.0,3.0
31.0,37.0,1.0,1.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
22.0,21.0,1.0,3.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
35.0,38.0,1.0,1.0
22.0,20.0,1.0,3.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
22.0,21.0,1.0,3.0
35.0,38.0,1.0,1.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,20.0,1.0,3.0
22.0,20.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,20.0,1.0,3.0
22.0,20.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,20.0,1.0,3.0
22.0,20.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,20.0,1.0,3.0
22.0,20.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,20.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
35.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
29.0,37.0,1.0,1.0
33.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
35.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
29.0,37.0,1.0,1.0
29.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
29.0,37.0,1.0,1.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
36.0,38.0,1.0,1.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
30.0,38.0,1.0,1.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
29.0,37.0,1.0,1.0
29.0,37.0,1.0,1.0
29.0,37.0,1.0,1.0
29.0,37.0,1.0,1.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
31.0,37.0,1.0,1.0
22.0,21.0,1.0,3.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
22.0,21.0,1.0,3.0
31.0,37.0,1.0,1.0
29.0,37.0,1.0,1.0
29.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
30.0,38.0,1.0,1.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
31.0,37.0,1.0,1.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
31.0,37.0,1.0,1.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
31.0,37.0,1.0,1.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
34.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
30.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
29.0,37.0,1.0,1.0
27.0,37.0,1.0,1.0
27.0,37.0,1.0,1.0
28.0,38.0,1.0,1.0
36.0,40.0,1.0,1.0
36.0,40.0,1.0,1.0
35.0,40.0,1.0,1.0
36.0,40.0,1.0,1.0
35.0,40.0,1.0,1.0
36.0,40.0,1.0,1.0
35.0,40.0,1.0,1.0
36.0,40.0,1.0,1.0
36.0,40.0,1.0,1.0
34.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
31.0,37.0,1.0,1.0
42.0,42.0,0.0,4.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
36.0,39.0,1.0,1.0
22.0,21.0,1.0,3.0
35.0,39.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
22.0,21.0,1.0,3.0
34.0,38.0,1.0,1.0
22.0,21.0,1.0,3.0
24.0,21.0,1.0,3.0
24.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
36.0,40.0,1.0,1.0
22.0,21.0,1.0,3.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
35.0,40.0,1.0,1.0
31.0,37.0,1.0,1.0
30.0,37.0,1.0,1.0
42.0,42.0,0.0,4.0
31.0,37.0,1.0,1.0
29.0,37.0,1.0,1.0
29.0,37.0,1.0,1.0
30.0,38.0,1.0,1.0
28.0,38.0,1.0,1.0
31.0,37.0,1.0,1.0
29.0,37.0,1.0,1.0
28.0,38.0,1.0,1.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
28.0,38.0,1.0,1.0
28.0,38.0,1.0,1.0
22.0,21.0,1.0,3.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
29.0,37.0,1.0,1.0
27.0,37.0,1.0,1.0
22.0,21.0,1.0,3.0
27.0,36.0,1.0,3.0
27.0,37.0,1.0,1.0
27.0,36.0,1.0,3.0
27.0,36.0,1.0,3.0
27.0,37.0,1.0,1.0
27.0,37.0,1.0,1.0
27.0,37.0,1.0,1.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
28.0,37.0,1.0,1.0
28.0,37.0,1.0,1.0
28.0,38.0,1.0,1.0
29.0,37.0,1.0,1.0
28.0,38.0,1.0,1.0
29.0,37.0,1.0,1.0
29.0,37.0,1.0,1.0
29.0,37.0,1.0,1.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
28.0,37.0,1.0,1.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,24.0,1.0,3.0
37.0,39.0,1.0,1.0
22.0,21.0,1.0,3.0
31.0,37.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
31.0,37.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
37.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
42.0,42.0,0.0,4.0
36.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
31.0,37.0,1.0,1.0
30.0,38.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
31.0,37.0,1.0,1.0
35.0,38.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
35.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
42.0,42.0,0.0,4.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,39.0,1.0,1.0
31.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
30.0,38.0,1.0,1.0
30.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
30.0,38.0,1.0,1.0
30.0,38.0,1.0,1.0
30.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
35.0,40.0,1.0,1.0
35.0,40.0,1.0,1.0
36.0,40.0,1.0,1.0
35.0,40.0,1.0,1.0
34.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
33.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
37.0,38.0,1.0,1.0
37.0,38.0,1.0,1.0
37.0,38.0,1.0,1.0
37.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
37.0,38.0,1.0,1.0
37.0,38.0,1.0,1.0
37.0,38.0,1.0,1.0
37.0,38.0,1.0,1.0
37.0,38.0,1.0,1.0
37.0,38.0,1.0,1.0
37.0,38.0,1.0,1.0
37.0,38.0,1.0,1.0
37.0,40.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
37.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
37.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
35.0,38.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
34.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
31.0,37.0,1.0,1.0
34.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
34.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
31.0,37.0,1.0,1.0
34.0,38.0,1.0,1.0
31.0,37.0,1.0,1.0
42.0,42.0,0.0,4.0
22.0,21.0,1.0,3.0
31.0,37.0,1.0,1.0
31.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
22.0,21.0,1.0,3.0
22.0,20.0,1.0,3.0
22.0,20.0,1.0,3.0
22.0,20.0,1.0,3.0
22.0,21.0,1.0,3.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
36.0,38.0,1.0,1.0
37.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
22.0,21.0,1.0,3.0
36.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
23.0,21.0,1.0,3.0
36.0,38.0,1.0,1.0
22.0,21.0,1.0,3.0
22.0,20.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,20.0,1.0,3.0
22.0,20.0,1.0,3.0
22.0,21.0,1.0,3.0
23.0,21.0,1.0,3.0
23.0,21.0,1.0,3.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
23.0,21.0,1.0,3.0
34.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,38.0,1.0,1.0
22.0,21.0,1.0,3.0
23.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
23.0,21.0,1.0,3.0
23.0,21.0,1.0,3.0
23.0,21.0,1.0,3.0
23.0,21.0,1.0,3.0
23.0,21.0,1.0,3.0
23.0,21.0,1.0,3.0
23.0,21.0,1.0,3.0
23.0,21.0,1.0,3.0
23.0,21.0,1.0,3.0
23.0,21.0,1.0,3.0
23.0,21.0,1.0,3.0
23.0,21.0,1.0,3.0
23.0,21.0,1.0,3.0
23.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
31.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
35.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
31.0,37.0,1.0,1.0
37.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
37.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
34.0,38.0,1.0,1.0
31.0,38.0,1.0,1.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
31.0,37.0,1.0,1.0
31.0,38.0,1.0,1.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
22.0,21.0,1.0,3.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
36.0,38.0,1.0,1.0
34.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
35.0,38.0,1.0,1.0
