,file,case,ckappa_manl2cs,ckappa_manbase
0,33013_sessie3_robotEngagement3,visible,0.2832417208935206,0.4261167861809402
1,33013_sessie3_taskEngagement1,visible,0.2865339779962801,0.6523617453447568
2,33013_sessie3_taskrobotEngagement,visible,0.19072760575841108,0.43206453160125435
3,Proefpersoon22016_Sessie1,visible,0.006492115176330415,-0.16118675334528842
4,Proefpersoon22016_Sessie2,visible,0.4539350197954706,0.20746681832864122
5,Proefpersoon22016_Sessie3,visible,0.06015204528622342,-0.021740121114161903
6,Proefpersoon22017_Sessie1,visible,0.07181704535202937,-0.019937269193882612
7,Proefpersoon22017_Sessie2,visible,0.3260248042892373,0.09560609659569186
8,Proefpersoon22017_Sessie3,visible,0.06420857856293294,-0.012765088759393306
9,Proefpersoon22018_Sessie1,visible,0.10661027707117199,-0.030164779079689064
10,Proefpersoon22018_Sessie2,visible,0.10211073761668454,0.09002852928600169
11,Proefpersoon22018_Sessie3,visible,0.19067316835079628,0.10103166820391718
12,Proefpersoon22030_Sessie1,visible,0.10129112635881798,0.1506199657354591
13,Proefpersoon22030_Sessie2_Poging2,visible,0.09908428204349073,0.060363068282940135
14,Proefpersoon22030_Sessie3,visible,0.016518473359352526,0.12818732201244598
15,33001_sessie1_taskrobotEngagement,visible,0.38601937490644345,0.6365964659023825
16,33001_sessie2_taskrobotEngagement,visible,0.2667972102378998,0.7236222158123469
17,33001_sessie3_taskrobotEngagement,visible,0.11609498680738783,0.3171782157931402
18,33002_sessie1_taskrobotEngagement,visible,0.07829045428715187,0.1697392004298931
19,33002_sessie2_taskrobotEngagement,visible,0.10003434613180406,0.20116858602120125
20,33002_sessie3_taskrobotEngagement,visible,-0.09065714946716508,0.21134774376183418
21,33003_sessie1_taskrobotEngagement,visible,0.09553943738541548,0.11701072871656482
22,33003_sessie3_robotEngagement1,visible,0.136202200402457,0.5423937611862697
23,33003_sessie3_taskrobotEngagement,visible,0.2541104131918439,0.36201749231252356
24,33004_sessie1_taskrobotEngagement,visible,0.21485771491974215,0.2053152361530357
25,33004_sessie2_taskrobotEngagement,visible,0.1758038537254668,0.010892612486771647
26,33004_sessie3_taskrobotEngagement,visible,0.30935861590689673,0.37592572620593123
27,33005_sessie1_taskrobotEngagement,visible,-0.0008329269761382374,0.5060508579095679
28,33005_sessie2_taskrobotEngagement,visible,0.20119092221458057,0.020944080422248268
29,33005_sessie3_taskrobotEngagement,visible,0.26057673173376394,0.39352902767680165
30,33006_sessie1_taskrobotEngagement,visible,0.37483074526479476,0.29433874464233367
31,33006_sessie2_taskrobotEngagement,visible,0.2889579635641307,0.20320354309406452
32,33006_sessie3_taskrobotEngagement,visible,0.06237916130024701,0.10419426880959293
33,33007_sessie1_taskrobotEngagement,visible,0.3226983545013026,-0.051401959667312314
34,33007_sessie2_taskrobotEngagement,visible,0.5349401391404622,-0.003060905532630942
35,33007_sessie3_taskrobotEngagement,visible,0.395910093073497,0.23286148103787974
36,33008_sessie1_taskrobotEngagement,visible,0.10767589413828793,-0.05359091839688235
37,33008_sessie2_taskrobotEngagement,visible,0.10304622368703409,0.1346281189273718
38,33008_sessie3_taskrobotEngagement,visible,0.028000646121994377,0.1077811499237119
39,33010_sessie1_taskrobotEngagement,visible,-0.005633367396886246,0.010110998147709771
40,33010_sessie2_taskrobotEngagement,visible,0.4344059136389178,0.11225619480450488
41,33010_sessie3_taskrobotEngagement,visible,0.1399459373959291,0.11825565832629925
42,33011_sessie2_robotEngagement1,visible,0.17824488372326897,0.25747988383586484
43,33011_sessie2_taskrobotEngagement,visible,0.2747700929113135,0.09019149154707118
44,33011_sessie3_taskrobotEngagement,visible,0.21463905139991646,0.2553249364012704
