yaw,pitch,face,class
43.0,16.0,1.0,3.0
44.0,30.0,1.0,1.0
44.0,30.0,1.0,1.0
43.0,30.0,1.0,1.0
44.0,30.0,1.0,1.0
44.0,30.0,1.0,1.0
44.0,30.0,1.0,1.0
44.0,30.0,1.0,1.0
44.0,30.0,1.0,1.0
43.0,30.0,1.0,1.0
43.0,30.0,1.0,1.0
34.0,31.0,1.0,3.0
35.0,31.0,1.0,3.0
43.0,31.0,1.0,1.0
35.0,31.0,1.0,3.0
43.0,31.0,1.0,1.0
27.0,25.0,1.0,3.0
27.0,25.0,1.0,3.0
26.0,23.0,1.0,3.0
42.0,15.0,1.0,3.0
42.0,15.0,1.0,3.0
43.0,16.0,1.0,3.0
43.0,16.0,1.0,3.0
44.0,30.0,1.0,1.0
25.0,23.0,1.0,3.0
25.0,23.0,1.0,3.0
43.0,16.0,1.0,3.0
45.0,31.0,1.0,1.0
44.0,30.0,1.0,1.0
44.0,30.0,1.0,1.0
44.0,30.0,1.0,1.0
44.0,31.0,1.0,1.0
44.0,30.0,1.0,1.0
44.0,31.0,1.0,1.0
35.0,49.0,1.0,3.0
44.0,31.0,1.0,1.0
44.0,31.0,1.0,1.0
35.0,52.0,1.0,3.0
35.0,52.0,1.0,3.0
33.0,53.0,1.0,3.0
33.0,53.0,1.0,3.0
31.0,53.0,1.0,3.0
33.0,52.0,1.0,3.0
31.0,52.0,1.0,3.0
31.0,52.0,1.0,3.0
31.0,53.0,1.0,3.0
32.0,53.0,1.0,3.0
31.0,52.0,1.0,3.0
31.0,53.0,1.0,3.0
32.0,53.0,1.0,3.0
32.0,53.0,1.0,3.0
32.0,53.0,1.0,3.0
33.0,52.0,1.0,3.0
35.0,53.0,1.0,3.0
35.0,53.0,1.0,3.0
34.0,54.0,1.0,3.0
35.0,53.0,1.0,3.0
36.0,53.0,1.0,3.0
34.0,52.0,1.0,3.0
36.0,52.0,1.0,3.0
36.0,52.0,1.0,3.0
44.0,33.0,1.0,1.0
44.0,33.0,1.0,1.0
44.0,33.0,1.0,1.0
37.0,53.0,1.0,3.0
36.0,53.0,1.0,3.0
36.0,53.0,1.0,3.0
37.0,53.0,1.0,3.0
44.0,32.0,1.0,1.0
44.0,32.0,1.0,1.0
44.0,31.0,1.0,1.0
44.0,31.0,1.0,1.0
37.0,53.0,1.0,3.0
36.0,53.0,1.0,3.0
36.0,53.0,1.0,3.0
44.0,31.0,1.0,1.0
36.0,53.0,1.0,3.0
37.0,53.0,1.0,3.0
44.0,31.0,1.0,1.0
44.0,31.0,1.0,1.0
44.0,31.0,1.0,1.0
44.0,31.0,1.0,1.0
44.0,32.0,1.0,1.0
44.0,31.0,1.0,1.0
44.0,31.0,1.0,1.0
44.0,31.0,1.0,1.0
44.0,31.0,1.0,1.0
44.0,31.0,1.0,1.0
44.0,31.0,1.0,1.0
44.0,31.0,1.0,1.0
37.0,53.0,1.0,3.0
44.0,31.0,1.0,1.0
36.0,53.0,1.0,3.0
36.0,53.0,1.0,3.0
36.0,53.0,1.0,3.0
36.0,53.0,1.0,3.0
36.0,53.0,1.0,3.0
36.0,53.0,1.0,3.0
36.0,53.0,1.0,3.0
44.0,31.0,1.0,1.0
44.0,31.0,1.0,1.0
44.0,32.0,1.0,1.0
44.0,32.0,1.0,1.0
36.0,53.0,1.0,3.0
36.0,53.0,1.0,3.0
36.0,53.0,1.0,3.0
36.0,53.0,1.0,3.0
36.0,54.0,1.0,3.0
44.0,31.0,1.0,1.0
44.0,31.0,1.0,1.0
44.0,31.0,1.0,1.0
44.0,31.0,1.0,1.0
44.0,31.0,1.0,1.0
44.0,31.0,1.0,1.0
34.0,54.0,1.0,3.0
31.0,53.0,1.0,3.0
34.0,54.0,1.0,3.0
34.0,55.0,1.0,3.0
36.0,55.0,1.0,3.0
34.0,55.0,1.0,3.0
31.0,53.0,1.0,3.0
34.0,54.0,1.0,3.0
36.0,55.0,1.0,3.0
36.0,54.0,1.0,3.0
36.0,54.0,1.0,3.0
36.0,54.0,1.0,3.0
36.0,54.0,1.0,3.0
44.0,31.0,1.0,1.0
44.0,31.0,1.0,1.0
36.0,53.0,1.0,3.0
35.0,53.0,1.0,3.0
34.0,54.0,1.0,3.0
34.0,53.0,1.0,3.0
34.0,54.0,1.0,3.0
44.0,31.0,1.0,1.0
35.0,53.0,1.0,3.0
35.0,53.0,1.0,3.0
35.0,53.0,1.0,3.0
34.0,54.0,1.0,3.0
36.0,53.0,1.0,3.0
34.0,54.0,1.0,3.0
35.0,53.0,1.0,3.0
35.0,53.0,1.0,3.0
34.0,54.0,1.0,3.0
34.0,54.0,1.0,3.0
34.0,54.0,1.0,3.0
35.0,53.0,1.0,3.0
34.0,54.0,1.0,3.0
34.0,54.0,1.0,3.0
34.0,54.0,1.0,3.0
34.0,54.0,1.0,3.0
36.0,54.0,1.0,3.0
36.0,54.0,1.0,3.0
34.0,54.0,1.0,3.0
44.0,31.0,1.0,1.0
34.0,54.0,1.0,3.0
31.0,53.0,1.0,3.0
34.0,54.0,1.0,3.0
31.0,54.0,1.0,3.0
36.0,54.0,1.0,3.0
31.0,53.0,1.0,3.0
35.0,53.0,1.0,3.0
35.0,53.0,1.0,3.0
44.0,31.0,1.0,1.0
44.0,31.0,1.0,1.0
44.0,31.0,1.0,1.0
44.0,31.0,1.0,1.0
36.0,53.0,1.0,3.0
44.0,31.0,1.0,1.0
44.0,31.0,1.0,1.0
44.0,31.0,1.0,1.0
44.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
42.0,31.0,1.0,1.0
42.0,31.0,1.0,1.0
42.0,31.0,1.0,1.0
42.0,31.0,1.0,1.0
42.0,31.0,1.0,1.0
42.0,31.0,1.0,1.0
42.0,31.0,1.0,1.0
42.0,31.0,1.0,1.0
42.0,31.0,1.0,1.0
42.0,31.0,1.0,1.0
37.0,47.0,1.0,3.0
37.0,48.0,1.0,3.0
35.0,47.0,1.0,3.0
36.0,47.0,1.0,3.0
36.0,47.0,1.0,3.0
35.0,48.0,1.0,3.0
35.0,47.0,1.0,3.0
35.0,47.0,1.0,3.0
35.0,49.0,1.0,3.0
35.0,48.0,1.0,3.0
35.0,48.0,1.0,3.0
35.0,49.0,1.0,3.0
35.0,49.0,1.0,3.0
31.0,52.0,1.0,3.0
34.0,50.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,52.0,1.0,3.0
44.0,31.0,1.0,1.0
43.0,32.0,1.0,1.0
44.0,32.0,1.0,1.0
44.0,33.0,1.0,1.0
44.0,33.0,1.0,1.0
44.0,33.0,1.0,1.0
43.0,34.0,1.0,1.0
44.0,33.0,1.0,1.0
44.0,33.0,1.0,1.0
44.0,32.0,1.0,1.0
43.0,32.0,1.0,1.0
44.0,32.0,1.0,1.0
43.0,32.0,1.0,1.0
43.0,32.0,1.0,1.0
35.0,53.0,1.0,3.0
44.0,31.0,1.0,1.0
44.0,32.0,1.0,1.0
44.0,31.0,1.0,1.0
44.0,31.0,1.0,1.0
43.0,32.0,1.0,1.0
37.0,53.0,1.0,3.0
44.0,32.0,1.0,1.0
44.0,32.0,1.0,1.0
44.0,31.0,1.0,1.0
37.0,53.0,1.0,3.0
36.0,53.0,1.0,3.0
36.0,53.0,1.0,3.0
44.0,31.0,1.0,1.0
36.0,53.0,1.0,3.0
43.0,33.0,1.0,1.0
43.0,33.0,1.0,1.0
36.0,53.0,1.0,3.0
36.0,53.0,1.0,3.0
43.0,33.0,1.0,1.0
43.0,33.0,1.0,1.0
43.0,33.0,1.0,1.0
43.0,33.0,1.0,1.0
43.0,33.0,1.0,1.0
43.0,33.0,1.0,1.0
36.0,53.0,1.0,3.0
36.0,53.0,1.0,3.0
35.0,53.0,1.0,3.0
36.0,53.0,1.0,3.0
36.0,53.0,1.0,3.0
35.0,53.0,1.0,3.0
36.0,53.0,1.0,3.0
36.0,54.0,1.0,3.0
35.0,53.0,1.0,3.0
36.0,54.0,1.0,3.0
36.0,55.0,1.0,3.0
36.0,55.0,1.0,3.0
36.0,55.0,1.0,3.0
36.0,55.0,1.0,3.0
36.0,55.0,1.0,3.0
37.0,55.0,1.0,3.0
36.0,55.0,1.0,3.0
37.0,55.0,1.0,3.0
37.0,55.0,1.0,3.0
37.0,55.0,1.0,3.0
37.0,55.0,1.0,3.0
44.0,33.0,1.0,1.0
38.0,55.0,1.0,3.0
38.0,55.0,1.0,3.0
37.0,55.0,1.0,3.0
38.0,55.0,1.0,3.0
37.0,55.0,1.0,3.0
37.0,55.0,1.0,3.0
38.0,55.0,1.0,3.0
43.0,32.0,1.0,1.0
37.0,55.0,1.0,3.0
38.0,55.0,1.0,3.0
38.0,55.0,1.0,3.0
37.0,55.0,1.0,3.0
37.0,55.0,1.0,3.0
36.0,55.0,1.0,3.0
36.0,55.0,1.0,3.0
36.0,55.0,1.0,3.0
36.0,55.0,1.0,3.0
36.0,55.0,1.0,3.0
36.0,57.0,1.0,3.0
35.0,56.0,1.0,3.0
34.0,55.0,1.0,3.0
35.0,55.0,1.0,3.0
34.0,55.0,1.0,3.0
34.0,54.0,1.0,3.0
34.0,54.0,1.0,3.0
35.0,55.0,1.0,3.0
34.0,54.0,1.0,3.0
33.0,54.0,1.0,3.0
34.0,54.0,1.0,3.0
33.0,54.0,1.0,3.0
33.0,54.0,1.0,3.0
33.0,53.0,1.0,3.0
33.0,53.0,1.0,3.0
33.0,53.0,1.0,3.0
31.0,53.0,1.0,3.0
31.0,53.0,1.0,3.0
33.0,53.0,1.0,3.0
31.0,53.0,1.0,3.0
33.0,53.0,1.0,3.0
33.0,53.0,1.0,3.0
34.0,53.0,1.0,3.0
34.0,53.0,1.0,3.0
34.0,53.0,1.0,3.0
34.0,53.0,1.0,3.0
34.0,53.0,1.0,3.0
34.0,53.0,1.0,3.0
34.0,53.0,1.0,3.0
34.0,53.0,1.0,3.0
34.0,53.0,1.0,3.0
34.0,53.0,1.0,3.0
34.0,53.0,1.0,3.0
34.0,53.0,1.0,3.0
34.0,54.0,1.0,3.0
34.0,54.0,1.0,3.0
34.0,53.0,1.0,3.0
34.0,54.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,53.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,53.0,1.0,3.0
34.0,53.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,53.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,51.0,1.0,3.0
34.0,51.0,1.0,3.0
34.0,51.0,1.0,3.0
34.0,51.0,1.0,3.0
34.0,51.0,1.0,3.0
34.0,51.0,1.0,3.0
34.0,51.0,1.0,3.0
34.0,51.0,1.0,3.0
34.0,51.0,1.0,3.0
34.0,51.0,1.0,3.0
34.0,51.0,1.0,3.0
34.0,50.0,1.0,3.0
34.0,50.0,1.0,3.0
34.0,50.0,1.0,3.0
34.0,50.0,1.0,3.0
34.0,50.0,1.0,3.0
34.0,50.0,1.0,3.0
34.0,50.0,1.0,3.0
34.0,50.0,1.0,3.0
34.0,50.0,1.0,3.0
34.0,50.0,1.0,3.0
34.0,50.0,1.0,3.0
35.0,49.0,1.0,3.0
34.0,49.0,1.0,3.0
35.0,49.0,1.0,3.0
35.0,49.0,1.0,3.0
35.0,49.0,1.0,3.0
35.0,49.0,1.0,3.0
35.0,49.0,1.0,3.0
35.0,49.0,1.0,3.0
35.0,48.0,1.0,3.0
35.0,48.0,1.0,3.0
35.0,48.0,1.0,3.0
35.0,48.0,1.0,3.0
35.0,48.0,1.0,3.0
35.0,48.0,1.0,3.0
36.0,47.0,1.0,3.0
36.0,47.0,1.0,3.0
36.0,47.0,1.0,3.0
36.0,47.0,1.0,3.0
36.0,47.0,1.0,3.0
36.0,46.0,1.0,3.0
36.0,45.0,1.0,3.0
35.0,45.0,1.0,3.0
35.0,45.0,1.0,3.0
35.0,45.0,1.0,3.0
37.0,43.0,1.0,3.0
34.0,50.0,1.0,3.0
33.0,50.0,1.0,3.0
33.0,51.0,1.0,3.0
33.0,51.0,1.0,3.0
34.0,51.0,1.0,3.0
33.0,51.0,1.0,3.0
33.0,52.0,1.0,3.0
34.0,52.0,1.0,3.0
33.0,52.0,1.0,3.0
33.0,52.0,1.0,3.0
33.0,52.0,1.0,3.0
33.0,52.0,1.0,3.0
33.0,52.0,1.0,3.0
33.0,52.0,1.0,3.0
33.0,52.0,1.0,3.0
33.0,52.0,1.0,3.0
33.0,52.0,1.0,3.0
33.0,52.0,1.0,3.0
33.0,52.0,1.0,3.0
33.0,52.0,1.0,3.0
33.0,52.0,1.0,3.0
31.0,53.0,1.0,3.0
31.0,53.0,1.0,3.0
31.0,52.0,1.0,3.0
29.0,53.0,1.0,3.0
30.0,53.0,1.0,3.0
31.0,52.0,1.0,3.0
31.0,52.0,1.0,3.0
31.0,52.0,1.0,3.0
31.0,52.0,1.0,3.0
31.0,52.0,1.0,3.0
33.0,50.0,1.0,3.0
33.0,51.0,1.0,3.0
33.0,50.0,1.0,3.0
33.0,50.0,1.0,3.0
32.0,51.0,1.0,3.0
32.0,51.0,1.0,3.0
33.0,51.0,1.0,3.0
33.0,51.0,1.0,3.0
33.0,50.0,1.0,3.0
33.0,50.0,1.0,3.0
34.0,50.0,1.0,3.0
35.0,52.0,1.0,3.0
34.0,48.0,1.0,3.0
35.0,46.0,1.0,3.0
35.0,47.0,1.0,3.0
35.0,47.0,1.0,3.0
34.0,50.0,1.0,3.0
35.0,49.0,1.0,3.0
36.0,49.0,1.0,3.0
35.0,51.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,52.0,1.0,3.0
33.0,52.0,1.0,3.0
33.0,52.0,1.0,3.0
33.0,52.0,1.0,3.0
33.0,52.0,1.0,3.0
33.0,53.0,1.0,3.0
34.0,52.0,1.0,3.0
33.0,53.0,1.0,3.0
34.0,53.0,1.0,3.0
35.0,50.0,1.0,3.0
35.0,50.0,1.0,3.0
34.0,52.0,1.0,3.0
34.0,52.0,1.0,3.0
33.0,52.0,1.0,3.0
34.0,51.0,1.0,3.0
34.0,51.0,1.0,3.0
34.0,51.0,1.0,3.0
33.0,52.0,1.0,3.0
34.0,51.0,1.0,3.0
34.0,51.0,1.0,3.0
34.0,51.0,1.0,3.0
34.0,51.0,1.0,3.0
34.0,51.0,1.0,3.0
35.0,50.0,1.0,3.0
35.0,50.0,1.0,3.0
35.0,50.0,1.0,3.0
35.0,50.0,1.0,3.0
35.0,51.0,1.0,3.0
35.0,51.0,1.0,3.0
35.0,51.0,1.0,3.0
34.0,51.0,1.0,3.0
33.0,52.0,1.0,3.0
33.0,53.0,1.0,3.0
33.0,53.0,1.0,3.0
33.0,53.0,1.0,3.0
33.0,53.0,1.0,3.0
34.0,52.0,1.0,3.0
31.0,55.0,1.0,3.0
39.0,46.0,1.0,3.0
39.0,45.0,1.0,3.0
39.0,45.0,1.0,3.0
39.0,45.0,1.0,3.0
39.0,46.0,1.0,3.0
39.0,46.0,1.0,3.0
39.0,45.0,1.0,3.0
39.0,45.0,1.0,3.0
39.0,45.0,1.0,3.0
39.0,45.0,1.0,3.0
39.0,45.0,1.0,3.0
39.0,44.0,1.0,3.0
39.0,44.0,1.0,3.0
39.0,43.0,1.0,3.0
39.0,43.0,1.0,3.0
36.0,56.0,1.0,3.0
39.0,43.0,1.0,3.0
39.0,44.0,1.0,3.0
39.0,44.0,1.0,3.0
39.0,44.0,1.0,3.0
39.0,44.0,1.0,3.0
39.0,43.0,1.0,3.0
39.0,44.0,1.0,3.0
39.0,44.0,1.0,3.0
39.0,44.0,1.0,3.0
39.0,44.0,1.0,3.0
39.0,44.0,1.0,3.0
39.0,44.0,1.0,3.0
39.0,44.0,1.0,3.0
39.0,44.0,1.0,3.0
39.0,44.0,1.0,3.0
39.0,45.0,1.0,3.0
39.0,45.0,1.0,3.0
39.0,45.0,1.0,3.0
36.0,56.0,1.0,3.0
36.0,56.0,1.0,3.0
36.0,57.0,1.0,3.0
36.0,57.0,1.0,3.0
36.0,57.0,1.0,3.0
36.0,57.0,1.0,3.0
36.0,56.0,1.0,3.0
36.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
37.0,55.0,1.0,3.0
37.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
38.0,56.0,1.0,3.0
38.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
36.0,57.0,1.0,3.0
36.0,57.0,1.0,3.0
36.0,57.0,1.0,3.0
36.0,57.0,1.0,3.0
36.0,57.0,1.0,3.0
36.0,57.0,1.0,3.0
36.0,57.0,1.0,3.0
36.0,57.0,1.0,3.0
37.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
35.0,57.0,1.0,3.0
35.0,57.0,1.0,3.0
36.0,57.0,1.0,3.0
36.0,57.0,1.0,3.0
36.0,57.0,1.0,3.0
35.0,57.0,1.0,3.0
36.0,57.0,1.0,3.0
35.0,57.0,1.0,3.0
36.0,57.0,1.0,3.0
36.0,57.0,1.0,3.0
36.0,57.0,1.0,3.0
36.0,57.0,1.0,3.0
36.0,57.0,1.0,3.0
36.0,57.0,1.0,3.0
37.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
38.0,56.0,1.0,3.0
38.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
38.0,56.0,1.0,3.0
38.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
38.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
37.0,56.0,1.0,3.0
36.0,57.0,1.0,3.0
37.0,56.0,1.0,3.0
38.0,56.0,1.0,3.0
40.0,56.0,1.0,3.0
38.0,56.0,1.0,3.0
40.0,56.0,1.0,3.0
38.0,56.0,1.0,3.0
37.0,57.0,1.0,3.0
37.0,57.0,1.0,3.0
37.0,57.0,1.0,3.0
37.0,57.0,1.0,3.0
37.0,57.0,1.0,3.0
46.0,52.0,1.0,1.0
46.0,52.0,1.0,1.0
46.0,52.0,1.0,1.0
37.0,57.0,1.0,3.0
46.0,52.0,1.0,1.0
45.0,53.0,1.0,1.0
36.0,56.0,1.0,3.0
36.0,56.0,1.0,3.0
36.0,57.0,1.0,3.0
33.0,57.0,1.0,3.0
31.0,58.0,1.0,3.0
33.0,57.0,1.0,3.0
31.0,59.0,1.0,3.0
31.0,60.0,1.0,3.0
31.0,60.0,1.0,3.0
26.0,62.0,1.0,3.0
26.0,62.0,1.0,3.0
26.0,62.0,1.0,3.0
25.0,62.0,1.0,3.0
24.0,62.0,1.0,3.0
27.0,61.0,1.0,3.0
30.0,60.0,1.0,3.0
27.0,62.0,1.0,3.0
27.0,62.0,1.0,3.0
28.0,62.0,1.0,3.0
28.0,61.0,1.0,3.0
27.0,62.0,1.0,3.0
27.0,62.0,1.0,3.0
28.0,62.0,1.0,3.0
28.0,62.0,1.0,3.0
31.0,60.0,1.0,3.0
28.0,61.0,1.0,3.0
27.0,62.0,1.0,3.0
26.0,62.0,1.0,3.0
26.0,62.0,1.0,3.0
27.0,62.0,1.0,3.0
27.0,62.0,1.0,3.0
27.0,62.0,1.0,3.0
28.0,62.0,1.0,3.0
28.0,62.0,1.0,3.0
28.0,62.0,1.0,3.0
28.0,62.0,1.0,3.0
28.0,62.0,1.0,3.0
27.0,62.0,1.0,3.0
27.0,61.0,1.0,3.0
27.0,61.0,1.0,3.0
27.0,61.0,1.0,3.0
27.0,61.0,1.0,3.0
26.0,61.0,1.0,3.0
26.0,62.0,1.0,3.0
27.0,61.0,1.0,3.0
27.0,62.0,1.0,3.0
28.0,62.0,1.0,3.0
28.0,61.0,1.0,3.0
29.0,62.0,1.0,3.0
28.0,61.0,1.0,3.0
28.0,62.0,1.0,3.0
29.0,62.0,1.0,3.0
29.0,62.0,1.0,3.0
29.0,62.0,1.0,3.0
31.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
32.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
31.0,60.0,1.0,3.0
31.0,60.0,1.0,3.0
31.0,60.0,1.0,3.0
34.0,57.0,1.0,3.0
34.0,57.0,1.0,3.0
34.0,58.0,1.0,3.0
31.0,60.0,1.0,3.0
34.0,59.0,1.0,3.0
34.0,59.0,1.0,3.0
33.0,60.0,1.0,3.0
33.0,60.0,1.0,3.0
33.0,60.0,1.0,3.0
33.0,61.0,1.0,3.0
33.0,61.0,1.0,3.0
33.0,60.0,1.0,3.0
33.0,60.0,1.0,3.0
33.0,60.0,1.0,3.0
33.0,60.0,1.0,3.0
33.0,60.0,1.0,3.0
31.0,60.0,1.0,3.0
33.0,60.0,1.0,3.0
32.0,60.0,1.0,3.0
32.0,60.0,1.0,3.0
32.0,60.0,1.0,3.0
32.0,60.0,1.0,3.0
32.0,60.0,1.0,3.0
32.0,61.0,1.0,3.0
32.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
32.0,61.0,1.0,3.0
32.0,61.0,1.0,3.0
31.0,60.0,1.0,3.0
31.0,60.0,1.0,3.0
31.0,60.0,1.0,3.0
32.0,60.0,1.0,3.0
32.0,60.0,1.0,3.0
32.0,60.0,1.0,3.0
32.0,60.0,1.0,3.0
32.0,60.0,1.0,3.0
32.0,60.0,1.0,3.0
32.0,60.0,1.0,3.0
32.0,60.0,1.0,3.0
32.0,60.0,1.0,3.0
32.0,60.0,1.0,3.0
32.0,60.0,1.0,3.0
32.0,60.0,1.0,3.0
32.0,60.0,1.0,3.0
32.0,60.0,1.0,3.0
31.0,60.0,1.0,3.0
32.0,60.0,1.0,3.0
32.0,60.0,1.0,3.0
32.0,60.0,1.0,3.0
32.0,60.0,1.0,3.0
32.0,60.0,1.0,3.0
31.0,60.0,1.0,3.0
32.0,60.0,1.0,3.0
31.0,60.0,1.0,3.0
31.0,60.0,1.0,3.0
31.0,60.0,1.0,3.0
31.0,60.0,1.0,3.0
32.0,61.0,1.0,3.0
31.0,60.0,1.0,3.0
31.0,61.0,1.0,3.0
32.0,60.0,1.0,3.0
32.0,60.0,1.0,3.0
33.0,60.0,1.0,3.0
32.0,61.0,1.0,3.0
44.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
44.0,30.0,1.0,1.0
44.0,30.0,1.0,1.0
44.0,30.0,1.0,1.0
44.0,30.0,1.0,1.0
44.0,30.0,1.0,1.0
44.0,30.0,1.0,1.0
43.0,32.0,1.0,1.0
43.0,32.0,1.0,1.0
43.0,32.0,1.0,1.0
44.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
43.0,31.0,1.0,1.0
44.0,32.0,1.0,1.0
44.0,31.0,1.0,1.0
44.0,31.0,1.0,1.0
43.0,32.0,1.0,1.0
43.0,33.0,1.0,1.0
43.0,32.0,1.0,1.0
43.0,32.0,1.0,1.0
43.0,33.0,1.0,1.0
43.0,33.0,1.0,1.0
43.0,33.0,1.0,1.0
43.0,33.0,1.0,1.0
43.0,33.0,1.0,1.0
43.0,33.0,1.0,1.0
43.0,33.0,1.0,1.0
43.0,32.0,1.0,1.0
43.0,33.0,1.0,1.0
44.0,33.0,1.0,1.0
43.0,33.0,1.0,1.0
43.0,32.0,1.0,1.0
31.0,62.0,1.0,3.0
31.0,62.0,1.0,3.0
29.0,62.0,1.0,3.0
31.0,61.0,1.0,3.0
31.0,62.0,1.0,3.0
29.0,62.0,1.0,3.0
32.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
35.0,61.0,1.0,3.0
35.0,61.0,1.0,3.0
35.0,61.0,1.0,3.0
35.0,61.0,1.0,3.0
35.0,61.0,1.0,3.0
35.0,61.0,1.0,3.0
35.0,61.0,1.0,3.0
35.0,61.0,1.0,3.0
35.0,61.0,1.0,3.0
35.0,61.0,1.0,3.0
35.0,61.0,1.0,3.0
35.0,61.0,1.0,3.0
35.0,60.0,1.0,3.0
35.0,60.0,1.0,3.0
35.0,60.0,1.0,3.0
35.0,60.0,1.0,3.0
34.0,59.0,1.0,3.0
35.0,61.0,1.0,3.0
35.0,61.0,1.0,3.0
35.0,61.0,1.0,3.0
35.0,61.0,1.0,3.0
34.0,61.0,1.0,3.0
34.0,61.0,1.0,3.0
33.0,61.0,1.0,3.0
33.0,61.0,1.0,3.0
33.0,61.0,1.0,3.0
33.0,61.0,1.0,3.0
33.0,61.0,1.0,3.0
33.0,61.0,1.0,3.0
33.0,60.0,1.0,3.0
33.0,60.0,1.0,3.0
33.0,59.0,1.0,3.0
33.0,60.0,1.0,3.0
32.0,60.0,1.0,3.0
31.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
30.0,61.0,1.0,3.0
30.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
31.0,61.0,1.0,3.0
32.0,61.0,1.0,3.0
32.0,61.0,1.0,3.0
32.0,61.0,1.0,3.0
32.0,61.0,1.0,3.0
